SEQ,NRPATRIMONIO1,DESCRICAO,CODCLASSIFICACAO,NOME_SETOR,LOCALIZAÇÃO,VALOR,DATACADASTRO,DESC_ESTADO,NRNOTAFISCAL,NOMEUNIDADE,ESTADO
26,39486,MESA DE REUNIAO RETANGULAR MED.200X120X74CM,42,SETOR DE PATRIMÔNIO,,712,29/12/2006,Bom,476/06,GOI,B
27,39488,MESA DE REUNIAO RETANGULAR MED. 200X120X74CM,42,COORDENAÇÃO ACADÊMICA,,712,29/12/2006,Bom,476/06,GOI,B
28,39624,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,COORDENAÇÃO DE ADMINISTRAÇÃO E MANUTENÇÃO,,"829,9",29/12/2006,Bom,479/06,GOI,B
29,39625,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,SETOR DE PATRIMÔNIO,,"829,9",29/12/2006,Bom,479/06,GOI,B
30,39626,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,INVENTÁRIO,,"829,9",29/12/2006,Bom,479/06,GOI,B
31,39627,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,COORDENAÇÃO DE APOIO AO ENSINO,B1 CAAAE/CORAE,"829,9",29/12/2006,Bom,479/06,GOI,B
32,39649,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,SETOR DE PATRIMÔNIO,B1 CGOF,"829,9",29/12/2006,Bom,479/06,GOI,B
33,39650,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,CAMPUS CID. GOIÁS,B1 SALA DO SERVIDOR,"829,9",29/12/2006,Bom,479/06,GOI,B
34,39653,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,SETOR DE PATRIMÔNIO,B5 T502 CA/CAPD,"829,9",29/12/2006,Bom,479/06,GOI,B
35,39656,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,COORDENAÇÃO DE ALMOXARIFADO E PATRIMÔNIO,,"829,9",29/12/2006,Bom,479/06,GOI,B
36,39657,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,COORDENAÇÃO DE ASSISTÊNCIA ESTUDANTIL,,"829,9",29/12/2006,Bom,479/06,GOI,B
37,39660,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,SETOR DE ADMINISTRAÇÃO DE TECNOLOGIA DA INFORMAÇÃO,TI,"829,9",29/12/2006,Bom,479/06,GOI,B
38,39661,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,COORDENAÇÃO CURSO TECNICO INTEGRADO AGROECOLOGIA,s606 agroindustria,"829,9",29/12/2006,Bom,479/06,GOI,B
39,39662,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,COORDENAÇÃO DE INTEGRAÇÃO ESCOLA - EMPRESA,,"829,9",29/12/2006,Bom,479/06,GOI,B
40,39664,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,COORDENAÇÃO CURSO TECNICO INTEGRADO EDIFICAÇÕES,,"829,9",29/12/2006,Bom,479/06,GOI,B
41,39665,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,SETOR DE PATRIMÔNIO,b6 s609 lab estudio,"829,9",29/12/2006,Bom,479/06,GOI,B
42,39667,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,COORDENAÇÃO DE GESTÃO ORÇAMENTÁRIA E FINANCEIRA,,"829,9",29/12/2006,Bom,479/06,GOI,B
43,39668,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,COORDENAÇÃO DE ADMINISTRAÇÃO E MANUTENÇÃO,B1 CAM,"829,9",29/12/2006,Bom,479/06,GOI,B
44,39670,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,COORDENAÇÃO DE ALMOXARIFADO E PATRIMÔNIO,,"829,9",29/12/2006,Bom,479/06,GOI,B
45,39671,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,SETOR DE PATRIMÔNIO,,"829,9",29/12/2006,Bom,479/06,GOI,B
46,39672,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,SETOR DE PATRIMÔNIO,B5 T502 CA/CAPD,"829,9",29/12/2006,Bom,479/06,GOI,B
47,39673,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,COORDENAÇÃO DE INTEGRAÇÃO ESCOLA - EMPRESA,,"829,9",29/12/2006,Bom,479/06,GOI,B
48,39674,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,COORDENAÇÃO DE ASSISTÊNCIA ESTUDANTIL,,"829,9",29/12/2006,Bom,479/06,GOI,B
49,39675,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,SETOR DE ADMINISTRAÇÃO DE TECNOLOGIA DA INFORMAÇÃO,TI,"829,9",29/12/2006,Bom,479/06,GOI,B
50,39676,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,SETOR DE PATRIMÔNIO,B5 T502 CA/CAPD,"829,9",29/12/2006,Bom,479/06,GOI,B
51,39677,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,SETOR DE AQUISIÇÕES E CONTRATOS,B1 CAC,"829,9",29/12/2006,Bom,479/06,GOI,B
52,39678,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,SETOR DE AQUISIÇÕES E CONTRATOS,,"829,9",29/12/2006,Bom,479/06,GOI,B
53,39679,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,COORDENAÇÃO DE ALMOXARIFADO E PATRIMÔNIO,,"829,9",29/12/2006,Bom,479/06,GOI,B
54,39680,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,SETOR DE ADMINISTRAÇÃO DE TECNOLOGIA DA INFORMAÇÃO,TI,"829,9",29/12/2006,Bom,479/06,GOI,B
55,39681,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,COORDENAÇÃO DE APOIO AO ENSINO,B1 CAAAE/CORAE,"829,9",29/12/2006,Bom,479/06,GOI,B
56,39682,"ARMARIO MEDIO C/ PORTAS MED. 0,495X1,20M",42,COORDENAÇÃO DE ALMOXARIFADO E PATRIMÔNIO,,"829,9",29/12/2006,Bom,479/06,GOI,B
57,41288,"C P U PENTIUM 4 HT INSIDE, MARCA ITAUTEC",35,SETOR DE PATRIMÔNIO,,"2078,4",31/01/2007,Bom,71022,GOI,B
58,41290,"C P U PENTIUM 4 HT INSIDE, MARCA ITAUTEC",35,SETOR DE PATRIMÔNIO,,"2078,4",31/01/2007,Bom,71022,GOI,B
59,41295,"C P U PENTIUM 4 HT INSIDE, MARCA ITAUTEC",35,SETOR DE PATRIMÔNIO,,"2078,4",31/01/2007,Bom,71022,GOI,B
60,41296,"C P U PENTIUM 4 HT INSIDE, MARCA ITAUTEC",35,SETOR DE PATRIMÔNIO,,"2078,4",31/01/2007,Bom,71022,GOI,B
61,41297,"C P U PENTIUM 4 HT INSIDE, MARCA ITAUTEC",35,SETOR DE PATRIMÔNIO,,"2078,4",31/01/2007,Bom,71022,GOI,B
62,43175,"POLTRONA GIRAT. TIPO SERVIDOR, ESTOFADO EM CURVIM NA COR PRETA",42,SETOR DE PATRIMÔNIO,,471,27/03/2008,Bom,1511/2008,GOI,B
63,43176,"POLTRONA GIRAT. TIPO SERVIDOR, ESTOFADO EM CURVIM NA COR PRETA",42,SETOR DE PATRIMÔNIO,,471,27/03/2008,Bom,1511/2008,GOI,B
64,43180,"POLTRONA GIRAT. TIPO SERVIDOR, ESTOFADO EM CURVIM NA COR PRETA",42,SETOR DE PATRIMÔNIO,,471,27/03/2008,Bom,1511/2008,GOI,B
65,43181,"POLTRONA GIRAT. TIPO SERVIDOR, ESTOFADO EM CURVIM NA COR PRETA",42,INVENTÁRIO,,471,27/03/2008,Bom,1511/2008,GOI,B
66,43187,"POLTRONA GIRAT. TIPO SERVIDOR, ESTOFADO EM CURVIM NA COR PRETA",42,COORDENAÇÃO DE ALMOXARIFADO E PATRIMÔNIO,,471,27/03/2008,Bom,1511/2008,GOI,B
67,43191,"POLTRONA GIRAT. TIPO SERVIDOR, ESTOFADO EM CURVIM NA COR PRETA",42,COORDENAÇÃO DE ASSISTÊNCIA ESTUDANTIL,,471,27/03/2008,Bom,1511/2008,GOI,B
68,46125,"C.P.U. COM MEMORIA  DE 2 GB DDR2, HD SATA 160GB MARCA DELL",35,SETOR DE PATRIMÔNIO,TI,1500,10/11/2008,Bom,008368/2008,GOI,B
69,46227,MONITOR LCD DE 17'' MOD. E178FPC  MARCA DELL,35,SETOR DE PATRIMÔNIO,,598,10/11/2008,Bom,08368/2008,GOI,B
70,46241,MONITOR LCD DE 17'' MOD. E178FPC  MARCA DELL,35,SETOR DE PATRIMÔNIO,,598,10/11/2008,Bom,08368/2008,GOI,B
71,46242,MONITOR LCD DE 17'' MOD. E178FPC  MARCA DELL,35,SETOR DE ADMINISTRAÇÃO DE TECNOLOGIA DA INFORMAÇÃO,,598,10/11/2008,Bom,08368/2008,GOI,B
72,48834,"MONITOR LCD 19""  RES. 1440X900 TELA WIDE MLC 1931W M.SEMP TOSHIBA",35,SETOR DE PATRIMÔNIO,,729,10/02/2009,Bom,63065/2009,GOI,B
73,48889,"MONITOR  LCD, 19''  RES.1440X900 TELA WIDE MLC M.SEMP TOSHIBA",35,SETOR DE PATRIMÔNIO,,700,04/03/2009,Bom,63065/2008,GOI,B
74,48926,"MONITOR  LCD, 19''  RES.1440X900 TELA WIDE MLC M.SEMP TOSHIBA",35,SETOR DE PATRIMÔNIO,,700,04/03/2009,Bom,63065/2008,GOI,B
75,50756,"C P U PROC. INTEL PENTIUM DUAL-CORE, 2GB RAM, 250GB SEMP-TOSHIBA",35,SETOR DE ADMINISTRAÇÃO DE TECNOLOGIA DA INFORMAÇÃO,,"1299,99",29/01/2010,Bom,8688/2009,GOI,B
76,50865,"MONITOR 19"", LCD, RESOLUÇÃO 1440X900, MARCA SEMP-TOSHIBA",35,SETOR DE ADMINISTRAÇÃO DE TECNOLOGIA DA INFORMAÇÃO,,700,29/01/2010,Bom,8688/2009,GOI,B
77,51258,"BATEDEIRA PLANETARIA 6 LTS, BATEDOR GLOBO EM ACO INOX, M. G-PANIZ",12,COORDENAÇÃO CURSO TECNICO INTEGRADO AGROECOLOGIA,S606 AGROINDUSTRIA,1045,08/03/2010,Bom,456,GOI,B
78,51416,CADEIRA GIRATORIA COM BRAÇOS. MARCA GIROFLEX,42,SETOR DE PATRIMÔNIO,B6 S602 LAB EDIO DE VIDEO,885,19/03/2010,Bom,132755,GOI,B
79,51435,CADEIRA GIRATORIA COM BRAÇOS. MARCA GIROFLEX,42,SETOR DE PATRIMÔNIO,,885,19/03/2010,Bom,132755,GOI,B
80,51436,CADEIRA GIRATORIA COM BRAÇOS. MARCA GIROFLEX,42,COORDENAÇÃO DE ADMINISTRAÇÃO E MANUTENÇÃO,,885,19/03/2010,Bom,132755,GOI,B
81,51439,CADEIRA GIRATORIA COM BRAÇOS. MARCA GIROFLEX,42,SETOR DE PATRIMÔNIO,B6 S602 LAB EDIO DE VIDEO,885,19/03/2010,Bom,132755,GOI,B
82,51440,CADEIRA GIRATORIA COM BRAÇOS. MARCA GIROFLEX,42,SETOR DE PATRIMÔNIO,B6 S602 LAB EDIO DE VIDEO,885,19/03/2010,Bom,132755,GOI,B
83,51453,CADEIRA GIRATORIA COM BRAÇOS. MARCA GIROFLEX,42,SETOR DE PATRIMÔNIO,,885,19/03/2010,Bom,132755,GOI,B
84,51454,CADEIRA GIRATORIA COM BRAÇOS. MARCA GIROFLEX,42,SETOR DE PATRIMÔNIO,,885,19/03/2010,Bom,132755,GOI,B
85,51457,CADEIRA GIRATORIA COM BRAÇOS. MARCA GIROFLEX,42,COORDENAÇÃO CURSO LICENCIATURA ARTES VISUAIS,B6 T609 ATELIE TEXTIL,885,19/03/2010,Bom,132755,GOI,B
86,51458,CADEIRA GIRATORIA COM BRAÇOS. MARCA GIROFLEX,42,SETOR DE PATRIMÔNIO,,885,19/03/2010,Bom,132755,GOI,B
87,51459,CADEIRA GIRATORIA COM BRAÇOS. MARCA GIROFLEX,42,SETOR DE PATRIMÔNIO,B6 S602 LAB EDIO DE VIDEO,885,19/03/2010,Bom,132755,GOI,B
88,51460,CADEIRA GIRATORIA COM BRAÇOS. MARCA GIROFLEX,42,SETOR DE PATRIMÔNIO,B6 S608 CCBCIN,885,19/03/2010,Bom,132755,GOI,B
89,51931,CHAIR BROILLER (GRELHA) EM AÇO INOX AISI 304 530X330X8MM M. FIRE,12,COORDENAÇÃO ACADÊMICA,,"98,9",05/04/2010,Bom,8314,GOI,B
90,52801,"FOGÃO INDUSTRIAL DE 4 BOCAS CROMADO  C/ FORNO, MARCA METALMAQ",12,COORDENAÇÃO CURSO TECNICO INTEGRADO AGROECOLOGIA,S606 AGROINDUSTRIA,"12741,37",03/08/2010,Bom,992896/2010,GOI,B
91,52805,FRITADEIRA ELÉTRICA DE ÁGUA E ÓLEO IND. C/CONT.DIGITAL M.VENÂNCIO,33,COORDENAÇÃO ACADÊMICA,,"865,2",03/08/2010,Bom,092/2010,GOI,B
92,52853,"ARMÁRIO MÉDIO FECHADO MED. 80X50X120CM, MARCA USE MOVEIS",42,COORDENAÇÃO DE COMUNICAÇÃO E EVENTOS,B1 CCS,790,03/08/2010,Bom,4533/2010,GOI,B
93,52854,"ARMÁRIO MÉDIO FECHADO MED. 80X50X120CM, MARCA USE MOVEIS",42,SETOR DE AQUISIÇÕES E CONTRATOS,B1 CAC,790,03/08/2010,Bom,4533/2010,GOI,B
94,52995,"ESTAÇÃO DE TRABALHO MED. 140X60X75CM, C/02 GAV. MARCA USE MOVEIS",42,SETOR DE AQUISIÇÕES E CONTRATOS,,1100,04/08/2010,Bom,4533/2010,GOI,B
95,52996,"ESTAÇÃO DE TRABALHO MED. 140X60X75CM, C/02 GAV. MARCA USE MOVEIS",42,SETOR DE PATRIMÔNIO,,1100,04/08/2010,Bom,4533/2010,GOI,B
96,53258,"CARRO EM AÇO INOX GIRATÓRIO P/ DETRITO C/ PEDAL, CAP.100LT.BRINOX",34,SETOR DE PATRIMÔNIO,,700,09/08/2010,Bom,5828/2010,GOI,B
97,63788,PRANCHETA DESENHO ESTRUTURA TUBO AÇO INDUSTRIAL,42,SETOR DE PATRIMÔNIO,,"442,8",04/08/2011,Bom,65,GOI,B
98,63790,PRANCHETA DESENHO ESTRUTURA TUBO AÇO INDUSTRIAL,42,SETOR DE PATRIMÔNIO,,"442,8",04/08/2011,Bom,65,GOI,B
99,63791,PRANCHETA DESENHO ESTRUTURA TUBO AÇO INDUSTRIAL,42,SETOR DE PATRIMÔNIO,,"442,8",04/08/2011,Bom,65,GOI,B
100,63795,PRANCHETA DESENHO ESTRUTURA TUBO AÇO INDUSTRIAL,42,SETOR DE PATRIMÔNIO,,"442,8",04/08/2011,Bom,65,GOI,B
101,63796,PRANCHETA DESENHO ESTRUTURA TUBO AÇO INDUSTRIAL,42,SETOR DE PATRIMÔNIO,,"442,8",04/08/2011,Bom,65,GOI,B
102,63798,PRANCHETA DESENHO ESTRUTURA TUBO AÇO INDUSTRIAL,42,SETOR DE PATRIMÔNIO,,"442,8",04/08/2011,Bom,65,GOI,B
103,63800,PRANCHETA DESENHO ESTRUTURA TUBO AÇO INDUSTRIAL,42,COORDENAÇÃO CURSO LICENCIATURA ARTES VISUAIS,B6 T602 ATELIE TRIDIMENSIONAL,"442,8",04/08/2011,Bom,65,GOI,B
104,64802,PRANCHETA DESENHO ESTRUTURA TUBO AÇO INDUSTRIAL,42,SETOR DE PATRIMÔNIO,,"442,8",04/08/2011,Bom,65,GOI,B
105,64806,PRANCHETA DESENHO ESTRUTURA TUBO AÇO INDUSTRIAL,42,SETOR DE PATRIMÔNIO,,"442,8",04/08/2011,Bom,65,GOI,B
106,64811,PRANCHETA DESENHO ESTRUTURA TUBO AÇO INDUSTRIAL,42,SETOR DE PATRIMÔNIO,,"442,8",04/08/2011,Bom,65,GOI,B
107,66172,PROJETOR MULTIMÍDIA ESPON,33,INVENTÁRIO,S601 LAB INFORMTICA,2319,12/07/2011,Bom,7567/2011,GOI,B
108,66176,PROJETOR MULTIMÍDIA ESPON,33,INVENTÁRIO,B1 SALA DE REUNIES,2319,12/07/2011,Bom,7567/2011,GOI,B
109,66187,ARMÁRIO MÉDIO FECHADO(800X500X1200),42,SETOR DE ADMINISTRAÇÃO DE TECNOLOGIA DA INFORMAÇÃO,,790,12/07/2011,Bom,4510/2011,GOI,B
110,66188,ARMÁRIO MÉDIO FECHADO(800X500X1200),42,CAMPUS CID. GOIÁS,B1 SALA DO SERVIDOR,790,12/07/2011,Bom,4510/2011,GOI,B
111,66189,ARMÁRIO MÉDIO FECHADO(800X500X1200),42,COORDENAÇÃO CURSO TECNICO INTEGRADO AGROECOLOGIA,S606 AGROINDUSTRIA,790,12/07/2011,Bom,4510/2011,GOI,B
112,66190,ARMÁRIO MÉDIO FECHADO(800X500X1200),42,DIRETORIA GERAL,B1 DG,790,12/07/2011,Bom,4510/2011,GOI,B
113,66191,ARMÁRIO MÉDIO FECHADO(800X500X1200),42,COORDENAÇÃO CURSO LICENCIATURA ARTES VISUAIS,B6 T603  ATELIE DE DESENHO,790,12/07/2011,Bom,4510/2011,GOI,B
114,66192,ARMÁRIO MÉDIO FECHADO(800X500X1200),42,SETOR DE PATRIMÔNIO,,790,12/07/2011,Bom,4510/2011,GOI,B
115,66193,ARMÁRIO MÉDIO FECHADO(800X500X1200),42,SETOR DE PATRIMÔNIO,,790,12/07/2011,Bom,4510/2011,GOI,B
116,66479,CPU HP MEMORIA 4 GB HD 500 INTEL CORE I5 / MALA,35,SETOR DE ADMINISTRAÇÃO DE TECNOLOGIA DA INFORMAÇÃO,,1883,21/10/2011,Bom,303114/2011,GOI,B
117,66482,CPU HP MEMORIA 4 GB HD 500 INTEL CORE I5 / MALA,35,INVENTÁRIO,,1883,21/10/2011,Bom,303114/2011,GOI,B
118,66488,CPU HP MEMORIA 4 GB HD 500 INTEL CORE I5 / MALA,35,COORDENAÇÃO DE COMUNICAÇÃO E EVENTOS,B1 CCS,1883,21/10/2011,Bom,303114/2011,GOI,B
119,66489,CPU HP MEMORIA 4 GB HD 500 INTEL CORE I5 / MALA,35,"GERÊNCIA DE PESQUISA, PÓS-GRADUAÇÃO E EXTENSÃO",SALA DA TI,1883,21/10/2011,Bom,303114/2011,GOI,B
120,66492,CPU HP MEMORIA 4 GB HD 500 INTEL CORE I5 / MALA,35,SETOR DE ADMINISTRAÇÃO DE TECNOLOGIA DA INFORMAÇÃO,,1883,21/10/2011,Bom,303114/2011,GOI,B
121,66493,CPU HP MEMORIA 4 GB HD 500 INTEL CORE I5 / MALA,35,"GERÊNCIA DE PESQUISA, PÓS-GRADUAÇÃO E EXTENSÃO",EMPRESTIMO IRNAEL CAETANO,1883,21/10/2011,Bom,303114/2011,GOI,B
122,66500,CPU HP MEMORIA 4 GB HD 500 INTEL CORE I5 / MALA,35,COORDENAÇÃO DE ADMINISTRAÇÃO E MANUTENÇÃO,,1883,21/10/2011,Bom,303114/2011,GOI,B
123,66509,"MONITOR POLICROMÁTICO HP 19"" L190HB",35,INVENTÁRIO,,260,21/10/2011,Bom,303114/2011,GOI,B
124,66510,"MONITOR POLICROMÁTICO HP 19"" L190HB",35,SETOR DE AQUISIÇÕES E CONTRATOS,B1 CAC,260,21/10/2011,Bom,303114/2011,GOI,B
125,66514,"MONITOR POLICROMÁTICO HP 19"" L190HB",35,COORDENAÇÃO DE ASSISTÊNCIA ESTUDANTIL,,260,21/10/2011,Bom,303114/2011,GOI,B
126,66522,"MONITOR POLICROMÁTICO HP 19"" L190HB",35,COORDENAÇÃO CURSO EJA ARTESANATO,B6T SALA COORD ARTESANATO,260,21/10/2011,Bom,303114/2011,GOI,B
127,66526,"MONITOR POLICROMÁTICO HP 19"" L190HB",35,COORDENAÇÃO CURSO TECNICO INTEGRADO EDIFICAÇÕES,,260,21/10/2011,Bom,303114/2011,GOI,B
128,66532,"MONITOR POLICROMÁTICO HP 19"" L190HB",35,COORDENAÇÃO DE ALMOXARIFADO E PATRIMÔNIO,,260,21/10/2011,Bom,303114/2011,GOI,B
129,66535,"MONITOR POLICROMÁTICO HP 19"" L190HB",35,SETOR DE ADMINISTRAÇÃO DE TECNOLOGIA DA INFORMAÇÃO,,260,21/10/2011,Bom,303114/2011,GOI,B
130,66536,"MONITOR POLICROMÁTICO HP 19"" L190HB",35,COORDENAÇÃO CURSO LICENCIATURA ARTES VISUAIS,B6T SALA COORD ARTES VISUAIS,260,21/10/2011,Bom,303114/2011,GOI,B
131,66868,"ESCULTURA MATRIZ EM GESSO, FUNDIÇÃO EM BRONZE COM BASE DE APOIO",44,DIRETORIA GERAL,,2800,10/01/2012,Bom,,GOI,B
132,66990,CATRACA DE ACESSO COM BIOMETRIA E LEITOR DE CARTÕES/WEBCAM/COLETO,35,SETOR DE PATRIMÔNIO,,"14209,5",19/01/2012,Bom,91639/2011,GOI,B
133,66999,APARELHO DE DVD BRITANIA,34,RECURSOS DIDÁTICOS,,281,12/03/2012,Bom,152/2012,GOI,B
134,69901,RELÓGIO DE PONTO ELETRÔNICO TRIX,35,SETOR DE PATRIMÔNIO,,4500,16/02/2012,Bom,25416/2012,GOI,B
135,70641,FRIGOBAR 120 L ELETROLUX,34,GERÊNCIA DE ADMINISTRAÇÃO,B1 SALA DO SERVIDOR,"667,12",13/03/2012,Bom,152/2012,GOI,B
136,70642,FRIGOBAR 120 L ELETROLUX,34,DIRETORIA GERAL,,"667,12",13/03/2012,Bom,152/2012,GOI,B
137,70978,SOFÁ 02 LUGARES ALBERFLEX,42,COORDENAÇÃO DE ASSISTÊNCIA ESTUDANTIL,B1 RECPÇÃO CAE,1600,21/03/2012,Bom,21864/2012,GOI,B
138,70979,SOFÁ 02 LUGARES ALBERFLEX,42,CAMPUS CID. GOIÁS,B1 SALA DO SERVIDOR,1600,21/03/2012,Bom,21864/2012,GOI,B
139,70979,SOFÁ 02 LUGARES ALBERFLEX,42,CAMPUS CID. GOIÁS,B1 SALA DO SERVIDOR,1600,21/03/2012,Bom,21864/2012,GOI,B
140,70980,SOFÁ 02 LUGARES ALBERFLEX,42,CAMPUS CID. GOIÁS,B1 SALA DO SERVIDOR,1600,21/03/2012,Bom,21864/2012,GOI,B
